model,relation,answer_space,n_total,accuracy,acquired_bits
pythia-410m,P98,60,60,0.06666666666666667,17.72067178682556
pythia-410m,P103,25,150,0.08,27.863137138648344
pythia-410m,P105,5,150,0.2866666666666667,30.185065233535706
pythia-410m,P108,25,150,0.1,41.79470570797252
pythia-410m,P115,60,60,0.06666666666666667,17.72067178682556
pythia-410m,P127,25,150,0.26,153.2472542625659
pythia-410m,P131,25,150,0.04,0.0
pythia-410m,P137,25,150,0.19333333333333333,106.80869236481864
pythia-410m,P162,25,150,0.05333333333333334,9.28771237954945
pythia-410m,P170,25,150,0.08666666666666667,32.50699332842307
pythia-410m,P171,25,150,0.04666666666666667,4.643856189774725
pythia-410m,P175,25,150,0.06666666666666667,18.575424759098894
pythia-410m,P176,25,150,0.09333333333333334,37.150849518197795
pythia-410m,P177,17,153,0.1830065359477124,77.66179398375644
pythia-410m,P178,25,150,0.1,41.79470570797252
pythia-410m,P179,25,150,0.06,13.93156856932417
pythia-410m,P185,60,60,0.03333333333333333,5.906890595608519
pythia-410m,P190,60,60,0.05,11.81378119121704
pythia-410m,P206,25,150,0.07333333333333333,23.21928094887362
pythia-410m,P272,25,150,0.04,0.0
pythia-410m,P291,17,153,0.058823529411764705,0.0
pythia-410m,P344,25,150,0.04,0.0
pythia-410m,P364,25,150,0.05333333333333334,9.28771237954945
pythia-410m,P403,16,144,0.09722222222222222,20.0
pythia-410m,P412,6,150,0.16666666666666666,0.0
pythia-410m,P413,25,150,0.04,0.0
pythia-410m,P427,60,60,0.1,29.534452978042598
pythia-410m,P449,25,150,0.04,0.0
pythia-410m,P463,25,150,0.1,41.79470570797252
pythia-410m,P466,60,60,0.016666666666666666,0.0
pythia-410m,P509,25,150,0.06666666666666667,18.575424759098894
pythia-410m,P610,60,60,0.03333333333333333,5.906890595608519
pythia-410m,P611,25,150,0.08666666666666667,32.50699332842307
pythia-410m,P641,25,150,0.07333333333333333,23.21928094887362
pythia-410m,P676,25,150,0.02,0.0
pythia-410m,P1303,25,150,0.04,0.0
pythia-410m,P1376,60,60,0.1,29.534452978042598
pythia-410m,P1412,25,150,0.08666666666666667,32.50699332842307
pythia-410m,P1441,25,150,0.06,13.93156856932417
pythia-410m,P1532,25,150,0.1,41.79470570797252
pythia-410m,P2632,21,147,0.047619047619047616,0.0
pythia-410m,P3373,60,60,0.016666666666666666,0.0
pythia-410m,P4552,24,144,0.1597222222222222,77.94436251225964
pythia-410m,P6886,25,150,0.06666666666666667,18.575424759098894
pythia-410m,P7937,25,150,0.04666666666666667,4.643856189774725
pythia-410m,P7959,25,150,0.06666666666666667,18.575424759098894
pythia-1b,P6,60,60,0.4666666666666667,159.48604608143
pythia-1b,P19,25,150,0.11333333333333333,51.082418087521965
pythia-1b,P20,25,150,0.04,0.0
pythia-1b,P26,60,60,0.03333333333333333,5.906890595608519
pythia-1b,P27,25,150,0.14,69.65784284662087
pythia-1b,P30,6,150,0.16666666666666666,0.0
pythia-1b,P36,60,60,0.36666666666666664,124.0447025077789
pythia-1b,P37,60,60,0.05,11.81378119121704
pythia-1b,P50,25,150,0.1,41.79470570797252
pythia-1b,P53,25,150,0.14666666666666667,74.30169903639558
pythia-1b,P57,25,150,0.04666666666666667,4.643856189774725
pythia-1b,P58,25,150,0.1,41.79470570797252
pythia-1b,P69,25,150,0.06666666666666667,18.575424759098894
pythia-1b,P87,60,60,0.03333333333333333,5.906890595608519
pythia-1b,P98,60,60,0.08333333333333333,23.627562382434075
pythia-1b,P103,25,150,0.08,27.863137138648344
pythia-1b,P105,5,150,0.35333333333333333,53.40434618240932
pythia-1b,P108,25,150,0.1,41.79470570797252
pythia-1b,P115,60,60,0.18333333333333332,59.06890595608519
pythia-1b,P127,25,150,0.24,139.3156856932417
pythia-1b,P131,25,150,0.07333333333333333,23.21928094887362
pythia-1b,P137,25,150,0.20666666666666667,116.0964047443681
pythia-1b,P162,25,150,0.02666666666666667,0.0
pythia-1b,P170,25,150,0.10666666666666667,46.43856189774725
pythia-1b,P171,25,150,0.06,13.93156856932417
pythia-1b,P175,25,150,0.05333333333333334,9.28771237954945
pythia-1b,P176,25,150,0.1,41.79470570797252
pythia-1b,P177,17,153,0.1437908496732026,53.137016936254405
pythia-1b,P178,25,150,0.06666666666666667,18.575424759098894
pythia-1b,P179,25,150,0.07333333333333333,23.21928094887362
pythia-1b,P185,60,60,0.03333333333333333,5.906890595608519
pythia-1b,P190,60,60,0.08333333333333333,23.627562382434075
pythia-1b,P206,25,150,0.12,55.72627427729668
pythia-1b,P272,25,150,0.04,0.0
pythia-1b,P291,17,153,0.058823529411764705,0.0
pythia-1b,P344,25,150,0.05333333333333334,9.28771237954945
pythia-1b,P364,25,150,0.06,13.93156856932417
pythia-1b,P403,16,144,0.08333333333333333,11.999999999999996
pythia-1b,P412,6,150,0.16666666666666666,0.0
pythia-1b,P413,25,150,0.07333333333333333,23.21928094887362
pythia-1b,P427,60,60,0.06666666666666667,17.72067178682556
pythia-1b,P449,25,150,0.05333333333333334,9.28771237954945
pythia-1b,P463,25,150,0.08,27.863137138648344
pythia-1b,P466,60,60,0.06666666666666667,17.72067178682556
pythia-1b,P509,25,150,0.03333333333333333,0.0
pythia-1b,P610,60,60,0.06666666666666667,17.72067178682556
pythia-1b,P611,25,150,0.06,13.93156856932417
pythia-1b,P641,25,150,0.07333333333333333,23.21928094887362
pythia-1b,P676,25,150,0.08,27.863137138648344
pythia-1b,P1303,25,150,0.05333333333333334,9.28771237954945
pythia-1b,P1376,60,60,0.1,29.534452978042598
pythia-1b,P1412,25,150,0.07333333333333333,23.21928094887362
pythia-1b,P1441,25,150,0.10666666666666667,46.43856189774725
pythia-1b,P1532,25,150,0.08,27.863137138648344
pythia-1b,P2632,21,147,0.05442176870748299,4.392317422778762
pythia-1b,P3373,60,60,0.03333333333333333,5.906890595608519
pythia-1b,P4552,24,144,0.16666666666666666,82.5293250129808
pythia-1b,P6886,25,150,0.06666666666666667,18.575424759098894
pythia-1b,P7937,25,150,0.03333333333333333,0.0
pythia-1b,P7959,25,150,0.06666666666666667,18.575424759098894
pythia-2.8b,P6,60,60,0.6,206.74117084629813
pythia-2.8b,P19,25,150,0.10666666666666667,46.43856189774725
pythia-2.8b,P20,25,150,0.04666666666666667,4.643856189774725
pythia-2.8b,P26,60,60,0.18333333333333332,59.06890595608519
pythia-2.8b,P27,25,150,0.10666666666666667,46.43856189774725
pythia-2.8b,P30,6,150,0.16666666666666666,0.0
pythia-2.8b,P36,60,60,0.5333333333333333,183.11360846386407
pythia-2.8b,P37,60,60,0.06666666666666667,17.72067178682556
pythia-2.8b,P50,25,150,0.18666666666666668,102.16483617504393
pythia-2.8b,P53,25,150,0.20666666666666667,116.0964047443681
pythia-2.8b,P57,25,150,0.06666666666666667,18.575424759098894
pythia-2.8b,P58,25,150,0.12,55.72627427729668
pythia-2.8b,P69,25,150,0.16666666666666666,88.23326760571975
pythia-2.8b,P87,60,60,0.03333333333333333,5.906890595608519
pythia-2.8b,P98,60,60,0.15,47.25512476486815
pythia-2.8b,P103,25,150,0.12666666666666668,60.37013046707141
pythia-2.8b,P105,5,150,0.3333333333333333,46.43856189774723
pythia-2.8b,P108,25,150,0.10666666666666667,46.43856189774725
pythia-2.8b,P115,60,60,0.2,64.97579655169372
pythia-2.8b,P127,25,150,0.26666666666666666,157.8911104523406
pythia-2.8b,P131,25,150,0.08666666666666667,32.50699332842307
pythia-2.8b,P137,25,150,0.31333333333333335,190.3981037807637
pythia-2.8b,P162,25,150,0.05333333333333334,9.28771237954945
pythia-2.8b,P170,25,150,0.22666666666666666,130.02797331369226
pythia-2.8b,P171,25,150,0.04,0.0
pythia-2.8b,P175,25,150,0.1,41.79470570797252
pythia-2.8b,P176,25,150,0.10666666666666667,46.43856189774725
pythia-2.8b,P177,17,153,0.1830065359477124,77.66179398375644
pythia-2.8b,P178,25,150,0.08666666666666667,32.50699332842307
pythia-2.8b,P179,25,150,0.08,27.863137138648344
pythia-2.8b,P185,60,60,0.06666666666666667,17.72067178682556
pythia-2.8b,P190,60,60,0.05,11.81378119121704
pythia-2.8b,P206,25,150,0.11333333333333333,51.082418087521965
pythia-2.8b,P272,25,150,0.04,0.0
pythia-2.8b,P291,17,153,0.06535947712418301,4.087462841250342
pythia-2.8b,P344,25,150,0.05333333333333334,9.28771237954945
